id,filename,participant_id,date,status,agc_status,distance,angle,session_id,mic_channel,facing,facing2,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
0,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial1,0,1,1,0.021239321,0.002443601,0.115050809,-1.64E-06,0.030103079,-1.92E-14,8.54E-10,-1.21E-05,0.058112729,0.23493141,0.9187235,15.949524,1034951.75,0.01710823,538.6354,7.114896811,0.004306285,0.012025807,0.043631405,0.055657212,0.049457654,23.21936452,50,-50,0,-32.83333333,1.64E-06,4.60E-06,1.56E-05,2.02E-05,1.79E-05,3.02E-05,6.51E-05,-6.51E-05,0,-4.28E-05
1,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial2,0,1,1,0.023212845,0.001302194,0.056097987,-1.68E-06,0.030249331,-2.30E-14,1.02E-09,-1.41E-05,0.063487502,0.21765329,0.9110125,15.770677,970970.3,0.013682031,459.60596,7.472020395,0.003914024,0.011157062,0.04460284,0.055759902,0.050136288,23.21936452,50,-50,0,-32.83333333,1.49E-06,4.27E-06,1.60E-05,2.02E-05,1.81E-05,3.02E-05,6.51E-05,-6.51E-05,0,-4.28E-05
2,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial3,0,1,1,0.012453648,0.001151276,0.092444875,-1.27E-06,0.023434481,-1.63E-14,7.15E-10,-9.95E-06,0.046366397,0.19423397,0.90709937,8.203771,589790.75,0.012704967,444.4265,6.549711378,0.004585613,0.013232217,0.041968339,0.055200556,0.048676528,23.45681611,51,-50,1,-32.66666667,1.74E-06,5.05E-06,1.50E-05,2.00E-05,1.76E-05,3.05E-05,6.64E-05,-6.51E-05,1.30E-06,-4.25E-05
3,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial4,0,1,1,0.012016794,0.000244979,0.02038638,-1.10E-06,0.019224177,-2.11E-14,9.17E-10,-1.21E-05,0.04787319,0.13719976,0.7981575,24.120205,2461703.5,0.00530249,329.27383,1.219021208,0.004537062,0.014063278,0.036712738,0.050776016,0.044804721,23.45681611,51,-50,1,-32.66666667,1.71E-06,5.33E-06,1.31E-05,1.84E-05,1.62E-05,3.05E-05,6.64E-05,-6.51E-05,1.30E-06,-4.25E-05
4,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial5,0,1,1,0.010260705,0.000908514,0.088543039,-1.08E-06,0.020012509,-1.45E-14,6.34E-10,-8.73E-06,0.040095154,0.14262599,0.81601954,8.114775,485735.22,0.010981408,348.7511,6.694443455,0.003974848,0.011518034,0.043342012,0.054860046,0.049587385,23.21936452,50,-50,0,-32.83333333,1.52E-06,4.41E-06,1.55E-05,1.99E-05,1.79E-05,3.02E-05,6.51E-05,-6.51E-05,0,-4.28E-05
5,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial6,0,1,1,0.005041161,0.000393034,0.077964972,-7.50E-07,0.01377609,-1.21E-14,5.19E-10,-6.90E-06,0.029611451,0.10740259,0.91747063,3.5324078,275807.34,0.007472419,238.13603,4.65942113,0.004051742,0.011364264,0.041750984,0.053115248,0.046966819,23.21936452,50,-50,0,-32.83333333,1.55E-06,4.36E-06,1.49E-05,1.93E-05,1.69E-05,3.02E-05,6.51E-05,-6.51E-05,0,-4.28E-05
6,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial7,0,1,1,0.008199079,0.000305147,0.037217239,-9.35E-07,0.016857331,-1.69E-14,7.26E-10,-9.56E-06,0.039142694,0.13546744,0.84538984,6.560876,521501.2,0.007199367,288.58057,3.664389827,0.003433835,0.009711401,0.041328646,0.051040047,0.046235301,22.98368987,49,-49,0,-32.5,1.28E-06,3.63E-06,1.49E-05,1.85E-05,1.67E-05,2.99E-05,6.38E-05,-6.38E-05,0,-4.23E-05
7,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial8,0,1,1,0.009079913,0.000505356,0.055656473,-9.90E-07,0.018128231,-1.70E-14,7.28E-10,-9.59E-06,0.040239823,0.20675817,0.8492003,6.8119607,490189,0.009067901,346.94684,5.37406053,0.003420133,0.008907373,0.04476036,0.053667733,0.049021458,23.09882152,49,-49,0,-32.66666667,1.28E-06,3.33E-06,1.61E-05,1.95E-05,1.77E-05,3.01E-05,6.38E-05,-6.38E-05,0,-4.25E-05
8,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial9,0,1,1,0.008919605,0.000971719,0.108941987,-9.86E-07,0.018530703,-1.71E-14,7.19E-10,-9.34E-06,0.039579382,0.18840434,0.91260654,6.5970507,429556.8,0.012183888,372.57416,6.652687963,0.003215407,0.008526273,0.04574553,0.054271802,0.049873175,23.09882152,49,-49,0,-32.66666667,1.20E-06,3.18E-06,1.65E-05,1.97E-05,1.80E-05,3.01E-05,6.38E-05,-6.38E-05,0,-4.25E-05
9,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial10,0,1,1,0.005262988,0.000378084,0.071838216,-7.66E-07,0.014153046,-1.30E-14,5.54E-10,-7.29E-06,0.030864389,0.053231798,0.80135745,4.087804,326895.25,0.007836615,286.72516,4.806356795,0.002990323,0.008245379,0.044530406,0.052775785,0.048714308,22.98368987,49,-49,0,-32.5,1.12E-06,3.09E-06,1.61E-05,1.91E-05,1.76E-05,2.99E-05,6.38E-05,-6.38E-05,0,-4.23E-05
