id,filename,participant,room,placement,session,polar_position,utterance,dov_angle,channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_ch1,gp_max_ix_ch1,gp_auc_ch1,tdoa_ch1,gp_max_val_ch2,gp_max_ix_ch2,gp_auc_ch2,tdoa_ch2,gp_max_val_ch3,gp_max_ix_ch3,gp_auc_ch3,tdoa_ch3,gp_max_val_ch4,gp_max_ix_ch4,gp_auc_ch4,tdoa_ch4
41472,recording0_0_1.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,0,1,6.44893751182291E-05,4.66068154643583E-07,0.0072270533524186800,-7.6855903968245E-08,0.0014590646461156700,-1.79001542212288E-15,7.65155273264301E-11,-9.80215056231479E-07,0.0037774393285659700,0.15924567,0.791834,0.081677064,5285.284704869610,0.001035869970866650,20.438201904296900,5.1344919730269200,0.0,0.0,0.0,0.0,0.01560692297990170,346.0,4.531852096226370,-1.30208333333333E-06,0.01622613198740050,344.0,4.717352486403840,-1.30208333333333E-06,0.015616874290976400,344.0,4.727267458903970,0.0
41473,recording0_0_2.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,0,2,5.43839910723988E-05,5.1406308606335E-07,0.00945247077175712,-7.1809445513608E-08,0.0013532929591845900,-1.62248987642325E-15,6.9699090069665E-11,-8.98958910921258E-07,0.003487769784774410,0.10280905,0.7234163,0.07123568,4717.677876641970,0.0009165113346520430,18.5614013671875,4.9452022352922500,0.01560692297990170,346.0,4.531852096226370,-1.30208333333333E-06,0.0,0.0,0.0,0.0,0.010105138896726100,698.0,3.234854022254210,0.0,0.010028573002623600,698.0,3.3248918757789400,0.0
41474,recording0_0_3.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,0,3,4.79704856302772E-05,4.30973613706432E-07,0.008984141145204860,-6.618036436434E-08,0.0012593048531406500,-1.55716919714898E-15,6.65454678369325E-11,-8.51621827296527E-07,0.0032744840280357000,0.123558655,0.77520955,0.06528843,4382.632284244520,0.0008745573447124430,17.936004638671900,4.692003374468490,0.01622613198740050,344.0,4.717352486403840,-1.30208333333333E-06,0.010105138896726100,698.0,3.234854022254210,0.0,0.0,0.0,0.0,0.0,0.008545028905894720,39.0,2.566166370916540,0.0
41475,recording0_0_4.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,0,4,5.94018455236434E-05,6.55968713564434E-07,0.011042901239547200,-7.24257510946011E-08,0.0013886160893058400,-1.72731848626718E-15,7.36653039380504E-11,-9.40027034633414E-07,0.0036094496971199100,0.17640129,0.74503964,0.07699225,5041.968537788840,0.0010165193730496200,20.241607666015600,4.886208068566140,0.015616874290976400,344.0,4.727267458903970,0.0,0.010028573002623600,698.0,3.3248918757789400,0.0,0.008545028905894720,39.0,2.566166370916540,0.0,0.0,0.0,0.0,0.0
41476,recording0_45_1.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,45,1,8.1963668906859E-05,5.08467580167204E-07,0.006203572716406960,-6.77297209162632E-08,0.0012247169875973900,-1.73791707911214E-15,7.40214318114006E-11,-9.38335431591468E-07,0.0034499741430762900,-0.057048097,0.8634605,0.104385324,7658.988122608510,0.0005821026662855960,13.532440185546900,3.7031480629867500,0.0,0.0,0.0,0.0,0.048202911234983600,3.0,4.410568927413840,3.90625E-06,0.03368914534542160,734.0,4.656793281644650,-2.60416666666667E-06,0.018926699109691700,394.0,4.640117141412050,-1.30208333333333E-06
41477,recording0_45_2.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,45,2,7.56762557441047E-05,4.2045627207012E-07,0.0055559867218044,-6.55755045596298E-08,0.0011847185577406800,-1.67779336147413E-15,7.14827054188497E-11,-9.06596109752196E-07,0.0033351104721365700,-0.001984127,0.87307096,0.10124623,7481.820727728310,0.0005620088293857280,13.018768310546900,3.466331431872550,0.048202911234983600,3.0,4.410568927413840,3.90625E-06,0.0,0.0,0.0,0.0,0.026326569665231500,348.0,4.237963821714860,-9.11458333333333E-06,0.045447475183613000,2.0,4.512291726943030,2.60416666666667E-06
41478,recording0_45_3.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,45,3,6.85507540844627E-05,4.43667177764179E-07,0.00647209769884556,-6.29369693574644E-08,0.001140317529708940,-1.62793843897488E-15,6.92900080565089E-11,-8.77307180761965E-07,0.0032202244485722500,-0.037310317,0.71345925,0.09710638,7159.340331647550,0.0005450229249231310,12.823944091796900,3.4029686962041800,0.03368914534542160,734.0,4.656793281644650,-2.60416666666667E-06,0.026326569665231500,348.0,4.237963821714860,-9.11458333333333E-06,0.0,0.0,0.0,0.0,0.01859029782011180,38.0,4.664704181081030,4.94791666666667E-05
41479,recording0_45_4.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,45,4,8.07459614232309E-05,5.68539884335798E-07,0.0070410937502594,-6.7182205308381E-08,0.0012169630955138900,-1.74859557918812E-15,7.44045876231812E-11,-9.41403825584746E-07,0.003449013927103820,0.111704744,0.757219,0.10724618,7853.683938819920,0.0005818055190325410,13.585357666015600,3.608963625260330,0.018926699109691700,394.0,4.640117141412050,-1.30208333333333E-06,0.045447475183613000,2.0,4.512291726943030,2.60416666666667E-06,0.01859029782011180,38.0,4.664704181081030,4.94791666666667E-05,0.0,0.0,0.0,0.0
41480,recording0_90_1.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,90,1,4.81428967626662E-05,5.18426956775843E-08,0.0010768503593200300,-5.28111004102766E-08,0.000955028945475194,-1.29095690180805E-15,5.52684855835162E-11,-7.06382746115062E-07,0.002635253271993010,0.015579072,0.83950615,0.066221476,5389.07574580051,0.0004553892789647920,11.9686279296875,2.305325152234400,0.0,0.0,0.0,0.0,0.014389114319348300,388.0,4.459751404434990,0.0,0.049030018084376600,734.0,4.135745028447710,-2.60416666666667E-06,0.009749607585113850,38.0,2.791429961544140,0.0
41481,recording0_90_2.wav,s10,upstairs,wall,trial1,A0_1_0,recording0,90,2,4.50435743711584E-05,5.54660590786003E-08,0.0012313867150408800,-5.08680896058312E-08,0.0009206250186298460,-1.25305333986254E-15,5.3612909592098E-11,-6.84455782569192E-07,0.0025483633994315500,0.010575139,0.732014,0.064031094,5239.035875853150,0.00043607457100639700,11.6597900390625,2.2000279568964900,0.014389114319348300,388.0,4.459751404434990,0.0,0.0,0.0,0.0,0.0,0.05031949215159050,2.0,4.254189442573890,2.60416666666667E-06,0.016316486555457700,509.0,4.450023307702590,0.0
