id,filename,participant,room,placement,session,polar_position,utterance,dov_angle,channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_ch1,gp_max_ix_ch1,gp_auc_ch1,tdoa_ch1,gp_max_val_ch2,gp_max_ix_ch2,gp_auc_ch2,tdoa_ch2,gp_max_val_ch3,gp_max_ix_ch3,gp_auc_ch3,tdoa_ch3,gp_max_val_ch4,gp_max_ix_ch4,gp_auc_ch4,tdoa_ch4
0,recording0_0_1.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,0,1,0.000221951,8.68E-07,0.003912463,-1.35E-07,0.002609742,-2.59E-15,1.13E-10,-1.49E-06,0.006154919,0.1583597,0.8898481,0.5343495,41663.53387,0.002137147,35.58239746,4.578071855,0,0,0,0,0.04154948,3,4.818193088,3.91E-06,0.041268125,3,4.814784344,3.91E-06,0.033834362,77,5.192064404,0.00010026
1,recording0_0_2.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,0,2,0.000202292,1.81E-06,0.008934499,-1.29E-07,0.002511106,-2.36E-15,1.03E-10,-1.37E-06,0.005778423,0.18514535,0.82550067,0.5072881,39652.17157,0.002173892,35.8270874,4.222496515,0.04154948,3,4.818193088,3.91E-06,0,0,0,0,0.014935742,353,4.145122422,0,0.038096453,32,4.655120281,4.17E-05
2,recording0_0_3.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,0,3,0.00019339,2.02E-06,0.01043885,-1.20E-07,0.002399892,-2.27E-15,9.85E-11,-1.30E-06,0.005481986,0.1994854,0.70517397,0.49409842,38535.58613,0.002342694,37.56204224,4.689349507,0.041268125,3,4.814784344,3.91E-06,0.014935742,353,4.145122422,0,0,0,0,0,0.052027696,32,4.11915041,4.17E-05
3,recording0_0_4.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,0,4,0.000225094,1.20E-06,0.005315608,-1.31E-07,0.002561032,-2.54E-15,1.10E-10,-1.45E-06,0.006003414,0.17629248,0.7139449,0.5485284,42675.523,0.00222501,36.34588623,4.682561389,0.033834362,77,5.192064404,0.00010026,0.038096453,32,4.655120281,4.17E-05,0.052027696,32,4.11915041,4.17E-05,0,0,0,0
4,recording0_45_1.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,45,1,0.000204507,2.15E-06,0.010510153,-1.16E-07,0.002229897,-1.91E-15,8.42E-11,-1.14E-06,0.004954618,0.18882062,0.8982645,0.32310635,25849.79544,0.001907502,32.00006104,4.291622525,0,0,0,0,0.036262909,19,4.882166715,2.47E-05,0.038783207,722,4.579362076,-1.82E-05,0.032084303,689,4.438307303,-1.30E-06
5,recording0_45_2.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,45,2,0.00018936,1.40E-06,0.00738287,-1.12E-07,0.00213833,-1.93E-15,8.47E-11,-1.14E-06,0.004859035,0.22509623,0.80154955,0.31137645,24979.00168,0.001724053,29.01473999,4.006446297,0.036262909,19,4.882166715,2.47E-05,0,0,0,0,0.032632786,706,4.861615602,-3.91E-05,0.039170391,719,4.833604879,-2.21E-05
6,recording0_45_3.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,45,3,0.000187505,2.50E-06,0.013337579,-1.10E-07,0.002147932,-1.86E-15,8.14E-11,-1.10E-06,0.004754106,0.18587777,0.70908314,0.3095052,24923.91762,0.001941269,32.38116455,4.731097632,0.038783207,722,4.579362076,-1.82E-05,0.032632786,706,4.861615602,-3.91E-05,0,0,0,0,0.0549828,704,3.95384473,-4.17E-05
7,recording0_45_4.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,45,4,0.000216594,2.73E-06,0.012617407,-1.17E-07,0.00227356,-1.96E-15,8.63E-11,-1.17E-06,0.005053374,0.20726626,0.6899729,0.35136986,28375.37084,0.002005314,33.31610107,4.445595213,0.032084303,689,4.438307303,-1.30E-06,0.039170391,719,4.833604879,-2.21E-05,0.0549828,704,3.95384473,-4.17E-05,0,0,0,0
8,recording0_90_1.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,90,1,0.000133577,1.29E-08,9.68E-05,-8.44E-08,0.001511788,-2.11E-15,9.00E-11,-1.15E-06,0.004237287,0.1774797,0.7320416,0.35766122,31305.10753,0.000696129,17.09350586,2.235540924,0,0,0,0,0.043959642,4,4.693043266,5.21E-06,0.04384085,1,4.765672179,1.30E-06,0.034718094,3,4.903240492,3.91E-06
9,recording0_90_2.wav,s1,upstairs,wall,trial1,A0_1_0,recording0,90,2,0.000127308,1.39E-08,0.000109377,-8.24E-08,0.001473609,-2.06E-15,8.79E-11,-1.12E-06,0.004138924,0.223433,0.75040025,0.34020415,29831.70851,0.000663982,16.51089478,2.336250379,0.043959642,4,4.693043266,5.21E-06,0,0,0,0,0.011734858,381,3.796784793,-1.30E-06,0.021627843,669,4.864243884,0
